"longitude","latitude","OBJECTID","VICINITY","SCI_NM","CMMN_NM","FAM_NAME","GENUS_NAME"
-76.978241979,38.9244748794,18933151,"1800 BLK EVARTS ST NE","Acer rubrum","Red maple","Aceraceae","Acer"
-76.9802653694,38.8995926029,18931051,"opp 1631 BENNING RD NE","Cercis species","Redbud","Fabaceae","Cercis"
-76.9308048079,38.8806872995,19023602,"5076 G ST SE","Ulmus species","Elm","Ulmaceae","Ulmus"
-77.1022355539,38.9416153029,18937308,"4056 52ND TER NW","Prunus serrulata 'Kwanzan'","Kwanzan cherry","Rosaceae","Prunus"
-76.9752464485,38.921865887,18987624,"2404 21ST PL NE","Lagerstroemia indica","Crape myrtle","Lythraceae","Lagerstroemia"
-77.0147762139,38.9443825182,18900606,"211 WEBSTER ST NW","Quercus palustris","Pin oak","Fagaceae","Quercus"
-77.0453277542,38.9347479327,19053405,"2049 PARK RD NW","Quercus rubra","Red oak","Fagaceae","Quercus"
-77.0175823199,38.9463541672,18997962,"400 BUCHANAN ST NW","Platanus x acerifolia","London plane tree","Platanaceae","Platanus"
-77.0293576301,38.9111909324,19019073,"1217 Q ST NW","Platanus x acerifolia","London plane tree","Platanaceae","Platanus"
-76.9908615253,38.9234808043,19000232,"1011 DOUGLAS ST NE","Prunus cerasifera","Purple leaf plum","Rosaceae","Prunus"
-76.9948834248,38.8987991586,19063417,"653 8TH ST NE","Quercus rubra","Red oak","Fagaceae","Quercus"
-77.0553509565,38.9303569104,18983905,"3015 CONNECTICUT AVE NW","Quercus rubra","Red oak","Fagaceae","Quercus"
-76.9136066075,38.8936686594,18965462,"313 61ST ST NE","Quercus rubra","Red oak","Fagaceae","Quercus"
-76.981911091,38.8827841302,19043398,"1607 E ST SE","Quercus palustris","Pin oak","Fagaceae","Quercus"
-77.1119520174,38.9342810822,18961087,"5800 SHERIER PL NW","Fraxinus species","Ash","Oleaceae","Fraxinus"
-76.9363326058,38.8832379163,18923259,"4400 BLK FALLS TER SE / E ST","Acer rubrum","Red maple","Aceraceae","Acer"
-77.0213093049,38.939909316,18952287,"500 blk SHEPHERD ST NW","Quercus coccinea","Scarlet oak","Fagaceae","Quercus"
-77.0297927696,38.9437066449,19003780,"opp 4301 13TH ST NW","Platanus x acerifolia","London plane tree","Platanaceae","Platanus"
-77.0524282399,38.9073005329,18973163,"2425 N ST NW","Acer saccharum","Sugar maple","Aceraceae","Acer"
-77.032187389,38.979447878,19006065,"1321 GERANIUM ST NW","Quercus rubra","Red oak","Fagaceae","Quercus"
-77.0297907284,38.9285168052,18942442,"3000 blk 13th st nw","Celtis laevigata","Sugarberry","Ulmaceae","Celtis"
-77.0919845212,38.9509965007,18984183,"4642 CHESAPEAKE ST NW","Quercus acutissima","Sawtooth oak","Fagaceae","Quercus"
-77.036810507,38.9687142703,18941570,"1600 UNDERWOOD ST NW","Tilia cordata","Littleleaf linden","Tiliaceae","Tilia"
-76.9309427728,38.8819202386,19021358,"5033 Kimi Gray Ct SE","Zelkova serrata","Japanese zelkova","Ulmaceae","Zelkova"
-77.020974426,38.9655909735,18992173,"555 ROXBORO PL NW","Ginkgo biloba","Ginkgo","Ginkgoaceae","Ginkgo"
-76.9943421494,38.9382939482,18932244,"3907 9TH ST NE","Cercis species","Redbud","Fabaceae","Cercis"
-77.0018523304,38.8233787792,19056828,"4610 LIVINGSTON RD SE","Ulmus americana","American elm","Ulmaceae","Ulmus"
-76.9915660542,38.9375198151,19028402,"1109 MICHIGAN AVE NE/Quincy","Ulmus americana","American elm","Ulmaceae","Ulmus"
-77.0137074291,38.9664878109,19011874,"6312 2ND ST NW","Ginkgo biloba (male)","Ginkgo (male)","Ginkgoaceae","Ginkgo"
-76.9306996828,38.9023568146,19041841,"OPP 4950 JUST ST NE","Acer rubrum","Red maple","Aceraceae","Acer"
-77.0165081662,38.943259946,18974223,"321 VARNUM ST NW","Amelanchier arborea","Downy serviceberry","Rosaceae","Amelanchier"
-76.9692481727,38.9244688907,19033969,"opp 2610 EVARTS ST NE","Ulmus americana","American elm","Ulmaceae","Ulmus"
-77.0137196641,38.9564475592,18931048,"5500 2ND ST NW","Cercis species","Redbud","Fabaceae","Cercis"
-76.9639044945,38.9223249981,18951285,"3027 CHANNING ST NE","Prunus virginiana","Chokecherry","Rosaceae","Prunus"
-77.0037275005,38.8412200957,18970230,"3401 MARTIN LUTHER KING JR AVE SE","Quercus rubra","Red oak","Fagaceae","Quercus"
-76.9762855469,38.8921122477,18975967,"200 BLOCK 20TH ST NE","Ulmus americana 'New Harmony'","New Harmony elm","Ulmaceae","Ulmus"
-77.0580021023,38.9033891931,18914225,"OPP 1030 29TH ST NW","Acer rubrum","Red maple","Aceraceae","Acer"
-77.0901715448,38.9487548513,19069052,"4540 BUTTERWORTH PL NW","Acer buergeranum","Trident maple","Aceraceae","Acer"
-77.0040628459,38.9169574034,18934168,"169 U ST NE","Platanus x acerifolia 'Bloodgood'","Bloodgood london plane tree","Platanaceae","Platanus"
-76.9670391881,38.8544906472,19042253,"2844 HARTFORD ST SE","Ulmus species","Elm","Ulmaceae","Ulmus"
-77.0651677149,38.9701704327,18984790,"6108 32ND PL","Cornus florida","Flowering Dogwood","Cornaceae","Cornus"
-76.9860550659,38.8829116953,18955245,"opp 1365 E ST SE","Tilia cordata","Littleleaf linden","Tiliaceae","Tilia"
-77.0399624402,38.9306261076,18903807,"1729 KILBOURNE PL NW","Acer saccharum","Sugar maple","Aceraceae","Acer"
-76.9543237246,38.8914051402,18986647,"125 35TH ST NE","Prunus species","Cherry","Rosaceae","Prunus"
-76.9733572315,38.8975078444,18917180,"556 23RD PL NE","Ulmus americana","American elm","Ulmaceae","Ulmus"
-77.0161180078,38.895185125,18932604,"441 4TH ST NW","Ulmus parvifolia","Chinese elm","Ulmaceae","Ulmus"
-76.9799041538,38.9376641573,19026698,"0pp3910 18TH ST NE","Ulmus americana","American elm","Ulmaceae","Ulmus"
-77.0271455115,38.9347026907,19046617,"3603 10TH ST NW","Pistacia chinensis","Chinese pistachio","Anacardiaceae","Pistacia"
-77.0057655151,38.8777896946,18907066,"1000 blk of 1ST ST SE","Quercus lyrata","Overcup oak","Fagaceae","Quercus"
-77.0465690088,38.9121708584,19025659,"1621 21ST ST NW","Acer rubrum","Red maple","Aceraceae","Acer"
-77.076606979,38.9640579053,18941056,"3821 MORRISON ST NW","Acer buergeranum","Trident maple","Aceraceae","Acer"
-77.0653609889,38.9479525506,19053015,"3200 ALBEMARLE ST NW","Syringa reticulata","Lilac","Oleaceae","Syringa"
-77.0855410997,38.9401866773,18984556,"4401 SPRINGDALE ST NW","Quercus rubra","Red oak","Fagaceae","Quercus"
-77.0577303624,38.9104929312,18970199,"2806 Q ST NW","Ulmus americana","American elm","Ulmaceae","Ulmus"
-77.0175487074,38.9280732472,19039531,"300 MICHIGAN AVE NW/traffic oval","Ulmus americana","American elm","Ulmaceae","Ulmus"
-76.9938248449,38.9011800779,18947263,"824 9TH ST NE","Ulmus americana","American elm","Ulmaceae","Ulmus"
-77.0184929821,38.9126653676,18906384,"441 R ST NW","Tilia tomentosa","Silver linden","Tiliaceae","Tilia"
-77.0353534722,38.9787433473,18956236,"1447 FLORAL ST NW","Prunus species","Cherry","Rosaceae","Prunus"
-77.0269453621,38.9254990651,19064798,"2723 11TH ST NW","Amelanchier arborea","Downy serviceberry","Rosaceae","Amelanchier"
-77.0397785759,38.9202812312,18979066,"2309 ONTARIO RD NW","Zelkova serrata 'Green Vase'","Green Vase Japanese zelkova","Ulmaceae","Zelkova"
-77.0802407654,38.9548283191,18951004,"5000 blk 41ST ST NW","Acer platanoides","Norway maple","Aceraceae","Acer"
-76.9410750824,38.8811496784,18990261,"4346 GORMAN TER SE","Lagerstroemia indica","Crape myrtle","Lythraceae","Lagerstroemia"
-77.0159840731,38.9626732081,19011551,"200 BLK PEABODY ST NW","Zelkova serrata","Japanese zelkova","Ulmaceae","Zelkova"
-77.0865164461,38.9131066083,18934384,"4604 RESERVOIR RD NW","Acer platanoides","Norway maple","Aceraceae","Acer"
-77.021787059,38.9420697424,18983870,"701 UPSHUR ST NW","Tilia cordata","Littleleaf linden","Tiliaceae","Tilia"
-77.0341637331,38.9620211586,18956349,"0 MILITARY RD NW","Quercus phellos","Willow oak","Fagaceae","Quercus"
-77.0916412303,38.9439307905,18901529,"4624 VERPLANCK PL NW","Acer species","Maple","Aceraceae","Acer"
-76.9668783848,38.9266545985,19005570,"2714 S. DAKOTA AVE NE","Lagerstroemia indica","Crape myrtle","Lythraceae","Lagerstroemia"
-76.9852583236,38.8661383551,18930554,"1900 BLK 14TH ST SE","Celtis laevigata","Sugarberry","Ulmaceae","Celtis"
-76.9303576953,38.886953422,18904460,"0 50TH ST SE","Acer rubrum","Red maple","Aceraceae","Acer"
-77.0263600975,38.9278660349,18949011,"907 COLUMBIA RD NW","Platanus x acerifolia","London plane tree","Platanaceae","Platanus"
-77.0429505179,38.9160580759,18966434,"1832 FLORIDA AVE NW","Quercus palustris","Pin oak","Fagaceae","Quercus"
-77.0767467001,38.9577378211,18916153,"3825 HUNTINGTON ST NW","Acer saccharum","Sugar maple","Aceraceae","Acer"
-77.0508506789,38.9244245733,19008000,"2624 WOODLEY PL NW","Liquidambar styraciflua","Sweetgum","Hamamelidaceae","Liquidambar"
-77.0177673292,38.9567919864,18991741,"5507 4TH ST NW","Acer rubrum","Red maple","Aceraceae","Acer"
-77.0229694462,38.9306964931,19034368,"649 KEEFER PL NW","Cercis species","Redbud","Fabaceae","Cercis"
-76.9557797127,38.884099677,18917331,"OPP 405 ANACOSTIA RD SE","Acer rubrum","Red maple","Aceraceae","Acer"
-77.0663066299,38.9258870644,18958098,"2743 34TH ST NW","Prunus species","Cherry","Rosaceae","Prunus"
-77.0301150091,38.9085297086,18985816,"1306 O ST NW","Nyssa sylvatica","Tupelo","Nyssaceae","Nyssa"
-77.0632617016,38.9555215934,19031526,"3065 Garrison St NW","Aesculus carnea","Red horsechestnut","Hippocastanaceae","Aescululs"
-77.0803087897,38.9236860225,18900317,"4031 DAVIS PL NW","Platanus occidentalis","American sycamore","Platanaceae","Platanus"
-77.0802419145,38.9558490681,19032839,"5035 41ST ST NW","Acer rubrum","Red maple","Aceraceae","Acer"
-76.9773328392,38.9385515531,18947611,"4006 19TH PL NE","Ginkgo biloba","Ginkgo","Ginkgoaceae","Ginkgo"
-76.9193055372,38.9003980641,18961176,"719 56TH PL NE","Acer saccharinum","Silver maple","Aceraceae","Acer"
-76.9979911125,38.8310251678,19037385,"OPP 607 ATLANTIC ST SE","Ulmus americana","American elm","Ulmaceae","Ulmus"
-77.019627042,38.9110832734,18925556,"OPP 519 Q ST NW","Acer rubrum","Red maple","Aceraceae","Acer"
-77.0100210408,38.9026053758,18941313,"UNIT BLOCK K ST NW","Zelkova serrata","Japanese zelkova","Ulmaceae","Zelkova"
-76.9795912356,38.888727908,18975010,"1730 A ST SE","Styphnolobium japonicum","Japanese pagodatree","Fabaceae","Styphnolobium"
-77.0235095748,38.9595699407,18959395,"0 MISSOURI AVE NW","Quercus phellos","Willow oak","Fagaceae","Quercus"
-77.0465761387,38.9081917006,19060380,"1331 21ST ST NW","Acer platanoides","Norway maple","Aceraceae","Acer"
-76.9391559256,38.9120363524,18905708,"4332 PONDS ST NE","Quercus coccinea","Scarlet oak","Fagaceae","Quercus"
-77.057696971,38.9093899157,18980346,"2811 P ST NW","Ginkgo biloba (male)","Ginkgo (male)","Ginkgoaceae","Ginkgo"
-77.0426306395,38.9296536811,19008754,"1832 KENYON ST NW","Quercus palustris","Pin oak","Fagaceae","Quercus"
-76.9288959831,38.903592435,19032242,"5014 SHERIFF RD NE","Quercus lyrata","Overcup oak","Fagaceae","Quercus"
-77.0200553485,38.9699926528,19032868,"511 VAN BUREN ST NW","Prunus species","Cherry","Rosaceae","Prunus"
-77.03007064,38.9118243811,18904178,"1306 CORCORAN ST NW","Ginkgo biloba (female)","Ginkgo (female)","Ginkgoaceae","Ginkgo"
-76.9979622072,38.8980979563,18946385,"619 MORRIS PL NE","Ginkgo biloba","Ginkgo","Ginkgoaceae","Ginkgo"
-77.0224196395,38.9809906365,19023953,"opp 7488 BLAIR RD NW","Ulmus americana","American elm","Ulmaceae","Ulmus"
-77.0374000677,38.9001293454,18954471,"1600 BLK H ST NW","Quercus phellos","Willow oak","Fagaceae","Quercus"
-76.931587487,38.9003704313,18905280,"809 49TH ST NE","Quercus phellos","Willow oak","Fagaceae","Quercus"
-77.0436282094,38.9100984352,18963547,"DUPONT CIRCLE","Ulmus species","Elm","Ulmaceae","Ulmus"
-77.0774709418,38.9491764429,19015627,NA,"Liriodendron tulipifera","Tulip poplar","Magnoliaceae","Liriodendron"
-77.0601503043,38.964960459,18910063,"2941 MCKINLEY ST NW","Quercus rubra","Red oak","Fagaceae","Quercus"
-77.0229429963,38.9637302593,18907796,"704 QUACKENBOS ST NW","Acer platanoides","Norway maple","Aceraceae","Acer"
-77.0189955114,38.9587913462,18953280,"419 MADISON ST NW","Acer saccharum","Sugar maple","Aceraceae","Acer"
-77.0571204098,38.9069569105,18939948,"1300 blk 28TH ST NW","Acer saccharum","Sugar maple","Aceraceae","Acer"
-77.1035445888,38.9302292384,18999405,"5110 Cathedral Ave NW","Cornus species","Dogwood","Cornaceae","Cornus"
-77.0566700254,38.9233464409,19000120,"2701 CALVERT ST NW","Ulmus americana","American elm","Ulmaceae","Ulmus"
-77.0197341266,38.9548686255,19052887,"5319 5th st nw","Prunus species","Cherry","Rosaceae","Prunus"
-77.0181208863,38.9720462045,18943133,"6700 BLK 4TH ST NW","Platanus occidentalis","American sycamore","Platanaceae","Platanus"
-77.0662580513,38.9431664304,19034701,"3500 VAN NESS ST NW","Prunus serrulata 'Kwanzan'","Kwanzan cherry","Rosaceae","Prunus"
-76.9680034159,38.9237385153,18964256,"2600 BLK 28TH ST NE","Prunus virginiana","Chokecherry","Rosaceae","Prunus"
-77.0243910205,38.9823708049,19018159,"opp 7558 8TH ST NW","Koelreuteria paniculata","Goldenrain tree","Sapindaceae","Koelreuteria"
-77.0990078197,38.9432996576,19009186,"OPP 4208 50TH ST NW","Liquidambar styraciflua","Sweetgum","Hamamelidaceae","Liquidambar"
-77.0209245207,38.9761511724,19024487,"7106 PINEY BRANCH RD NW","Ulmus americana","American elm","Ulmaceae","Ulmus"
-77.0055087123,38.9650139514,19020730,"6138 SLIGO MILL RD NE","Prunus serrulata 'Kwanzan'","Kwanzan cherry","Rosaceae","Prunus"
-77.096336394,38.9421665774,18921895,"Opp 4849 UPTON ST NW","Prunus yedoensis","Yoshino cherry","Rosaceae","Prunus"
-77.1043042655,38.9349124052,18931443,"3340 MAUD ST NW","Cercis species","Redbud","Fabaceae","Cercis"
-76.9850635875,38.8677845336,18999793,"1812 14TH ST SE","Prunus virginiana","Chokecherry","Rosaceae","Prunus"
-76.9749302924,38.9255369443,19014195,"2017 FRANKLIN ST NE","Quercus phellos","Willow oak","Fagaceae","Quercus"
-76.9587200555,38.88369445,18994222,"3326 ELY PL SE","Platanus x acerifolia","London plane tree","Platanaceae","Platanus"
-77.0004968674,38.8324157259,18931804,"4TH ST SE","Prunus species","Cherry","Rosaceae","Prunus"
-76.9871045684,38.8413396997,19034724,"3406 13TH PL SE","Lagerstroemia indica","Crape myrtle","Lythraceae","Lagerstroemia"
-77.055274348,38.9280618384,19070615,"2839 27TH ST NW","Quercus bicolor","Swamp white oak","Fagaceae","Quercus"
-77.0220970525,38.9531773845,18993062,"5200 blk 7TH ST NW","Liquidambar Stryaciflua 'Sterile'","Sweetgum (sterile)","Hamamelidaceae","Liquidambar"
-77.0419790867,38.9118373184,18978691,"1804 CORCORAN ST NW","Ginkgo biloba (female)","Ginkgo (female)","Ginkgoaceae","Ginkgo"
-77.0289309564,38.9180670628,18915040,"2114 V ST NW","Acer saccharum","Sugar maple","Aceraceae","Acer"
-77.0266620216,38.9793481694,18964761,"1100 BLK GERANIUM ST NW","Quercus palustris","Pin oak","Fagaceae","Quercus"
-77.0333653037,38.8953894165,18919986,"1450 PENNSYLVANIA AVE NW","Quercus phellos","Willow oak","Fagaceae","Quercus"
-77.0228773424,38.9759474343,18911424,"7125 7TH ST NW","Acer rubrum","Red maple","Aceraceae","Acer"
-77.0406872329,38.9141512298,19036454,"1737 S ST NW","Acer saccharum","Sugar maple","Aceraceae","Acer"
-76.9392526332,38.902458787,18949861,"930 44TH ST NE","Lagerstroemia indica","Crape myrtle","Lythraceae","Lagerstroemia"
-76.9912610602,38.8638216354,18909136,"1132 CHICAGO ST SE","Cercis canadensis","Eastern redbud","Fabaceae","Cercis"
-76.9868067489,38.836029094,19064613,"4000 BLK 13TH ST SE","Cercis canadensis","Eastern redbud","Fabaceae","Cercis"
-76.9216446457,38.8919141943,18931268,"222 56TH ST NE","Acer saccharinum","Silver maple","Aceraceae","Acer"
-77.0060019488,38.9092279492,19021843,"1400 blk 1ST ST NE/O St","Ulmus parvifolia","Chinese elm","Ulmaceae","Ulmus"
-77.0268361575,38.9484042591,19028696,"4801 GEORGIA AVE NW","Quercus acutissima","Sawtooth oak","Fagaceae","Quercus"
-77.0187347322,38.9203448624,18944751,"415  BRYANT ST NW","Zelkova serrata","Japanese zelkova","Ulmaceae","Zelkova"
-76.9866360878,38.9267859435,18909772,"1330 GIRARD ST NE","Acer saccharum","Sugar maple","Aceraceae","Acer"
-77.0354315982,38.915531008,19018220,"1520 T ST NW","Liquidambar Stryaciflua 'Sterile'","Sweetgum (sterile)","Hamamelidaceae","Liquidambar"
-77.0838539428,38.9452536414,18924459,"4312 43RD ST NW","Acer saccharum","Sugar maple","Aceraceae","Acer"
-76.9999886385,38.8941552442,19025720,"418 C ST NE","Prunus species","Cherry","Rosaceae","Prunus"
-77.0985380089,38.941393252,18986796,"4941 TILDEN ST NW","Quercus phellos","Willow oak","Fagaceae","Quercus"
-76.9662391656,38.8625200824,18929819,"OPP 2912 FORT BAKER DR SE","Acer platanoides","Norway maple","Aceraceae","Acer"
-77.0307774213,38.9682315984,18976051,"1388 TEWKESBURY PL NW","Ginkgo biloba (male)","Ginkgo (male)","Ginkgoaceae","Ginkgo"
-77.0936441046,38.9412220353,18956977,"4728 TILDEN ST NW","Quercus nuttallii","Nuttall oak","Fagaceae","Quercus"
-77.0234393441,38.9750404133,19016217,NA,"Nyssa sylvatica","Tupelo","Nyssaceae","Nyssa"
-77.0237657389,38.9364084153,19048908,"754 ROCK CREEK CHURCH RD NW","Zelkova serrata","Japanese zelkova","Ulmaceae","Zelkova"
-77.0387304757,38.9118326696,19011016,"1700 BLOCK CORCORAN ST NW","Ginkgo biloba (male)","Ginkgo (male)","Ginkgoaceae","Ginkgo"
-77.0713633254,38.9222598113,18948544,"Guy Mason Recreation  Center @ 3600 Calvert St NW","Carpinus caroliniana","Ironwood","Betulaceae","Carpinus"
-76.9746885215,38.9245640627,19064343,"2030 EVARTS ST NE","Nyssa sylvatica","Tupelo","Nyssaceae","Nyssa"
-77.047072193,38.9132453048,18936549,"2118 FLORIDA AVE NW","Quercus palustris","Pin oak","Fagaceae","Quercus"
-76.9558025522,38.8900634857,18964816,"4 35TH ST NE","Tilia tomentosa","Silver linden","Tiliaceae","Tilia"
-77.0132386773,38.872096916,18960856,"115 P ST SW","Quercus phellos","Willow oak","Fagaceae","Quercus"
-76.9550799928,38.8644204901,19058976,NA,"Quercus phellos","Willow oak","Fagaceae","Quercus"
-76.9331754151,38.8956444102,18905306,"522 49TH ST NE","Cercis species","Redbud","Fabaceae","Cercis"
-76.9528493243,38.9001768514,19001324,"600 BLK ANACOSTIA AVE NE","Syringa reticulata","Lilac","Oleaceae","Syringa"
-77.0122304376,38.9159400736,18994230,"1902 1ST ST NW/Rhode Island Ave","Pistacia chinensis","Chinese pistachio","Anacardiaceae","Pistacia"
-77.0386136172,38.9076253887,18974699,"1300 BLK 17TH ST NW/N ST","Ulmus parvifolia","Chinese elm","Ulmaceae","Ulmus"
-76.9513718682,38.8987163111,18940623,"3710  blk  FOOTE ST NE","Zelkova serrata","Japanese zelkova","Ulmaceae","Zelkova"
-77.0021494354,38.9605821352,19069934,"312 NICHOLSON ST NE","Ulmus americana 'Jefferson'","Jefferson Elm","Ulmaceae","Ulmus"
-77.0024324835,38.881861009,18990857,"Garfield Park","Quercus bicolor","Swamp white oak","Fagaceae","Quercus"
-76.9603585147,38.869718772,19036520,"1500 blk BRANCH AVE SE","Quercus phellos","Willow oak","Fagaceae","Quercus"
-76.9915934199,38.894950937,18986562,"OPP 403 11TH ST NE","Taxodium distichum","Bald cypress","Cupressaceae","Taxodium"
-76.9691573222,38.8471178099,19039452,"3420 25TH ST SE","Gleditsia species","Honeylocust","Fabaceae","Gleditsia"
-76.992433911,38.950329403,19012793,"1000 blk EMERSON ST NE","Lagerstroemia indica","Crape myrtle","Lythraceae","Lagerstroemia"
-76.9776619198,38.9002512586,18943850,"1740 H ST NE","Zelkova serrata","Japanese zelkova","Ulmaceae","Zelkova"
-77.0274587679,38.94717044,18956414,"1208 CRITTENDEN ST NW","Quercus species","Oak","Fagaceae","Quercus"
-76.9919295632,38.8967764796,18945872,"OPP 1017 MARYLAND AVE NE","Quercus rubra","Red oak","Fagaceae","Quercus"
-77.0968294867,38.9480902321,18918242,"4500 BLK 49TH ST NW","Platanus x acerifolia","London plane tree","Platanaceae","Platanus"
-77.0365183148,38.9501998081,19039699,"4842 16TH ST NW","Acer platanoides","Norway maple","Aceraceae","Acer"
-77.0817886554,38.9580810891,18995641,"4121 INGOMAR ST NW","Cercis species","Redbud","Fabaceae","Cercis"
-77.0692764894,38.9372943681,19008846,"3510 PORTER ST NW","Cercis canadensis","Eastern redbud","Fabaceae","Cercis"
-77.0513683425,38.8980287348,18900090,"601 24TH ST NW","Acer saccharum","Sugar maple","Aceraceae","Acer"
-76.9314564171,38.9031624682,19000658,"4900 SHERIFF RD NE","Platanus x acerifolia","London plane tree","Platanaceae","Platanus"
-76.9923931546,38.8947383099,19014805,"1000 BLK D ST NE","Acer rubrum","Red maple","Aceraceae","Acer"
-76.9983844418,38.8810396158,18952584,"700 BLK 6TH ST SE","Acer saccharum","Sugar maple","Aceraceae","Acer"
-77.0814054971,38.9126321784,18974915,"3900 BLK RESERVOIR RD NW","Gymnocladus dioicus","Kentucky coffeetree","Fabaceae","Gymnocladus"
-77.0488707066,38.9047929261,19045003,"1170 22 ST NW","Acer rubrum","Red maple","Aceraceae","Acer"
-76.9690832398,38.8577507692,19035143,"2515 ALABAMA AVE SE","Quercus acutissima","Sawtooth oak","Fagaceae","Quercus"
-77.0442749487,38.9296918145,18941801,"3100 BLK ADAMS MILL RD NW","Cercis species","Redbud","Fabaceae","Cercis"
-77.0343258189,38.951935425,18976040,"1419 GALLATIN ST NW","Taxodium distichum","Bald cypress","Cupressaceae","Taxodium"
-77.0362759541,38.9450288126,18973478,"1500 BLK ALLISON ST NW","Quercus palustris","Pin oak","Fagaceae","Quercus"
